,the_geom,PMAID,NAME,ADDRESS,LOCID,AMWO_ID,RES1,RES2,POINT_X,POINT_Y,closest sidewalk id,closest sidewalk point
15,POINT (-122.31418202753167 47.594127421704854),592,Sturgus Park,904 Sturgus Ave S,,,,,1275049.37435798,220235.08623006,22924,POINT (-122.2536654423589 47.67156461734921)
16,POINT (-122.40555370754136 47.63769486647795),4012,Eastmont Place,2201 Westmont Way W,,,,,1252833.08775389,236570.84686555,22924,POINT (-122.2536654423589 47.67156461734921)
17,POINT (-122.32280632578852 47.652198424788544),377,South Passage Point Park,3320 Fuhrman Ave E,,,,,1273331.73212397,241454.47161272,22924,POINT (-122.2536654423589 47.67156461734921)
18,POINT (-122.28862498406107 47.59045742775191),4241,East Portal Viewpoint,1400 Lake Washington Blvd S,,,,,1281328.94841297,218776.34964621,22924,POINT (-122.2536654423589 47.67156461734921)
19,POINT (-122.36765707411526 47.62801126283616),314,Kinnear Park,899 W Olympic Pl,,,,,1262103.68863523,232850.74308529997,22924,POINT (-122.2536654423589 47.67156461734921)
20,POINT (-122.35941090335908 47.61779844693248),311,Myrtle Edwards Park,3130 Alaskan Way,,,,,1264062.78281415,229085.76603521,22924,POINT (-122.2536654423589 47.67156461734921)
21,POINT (-122.28637581285507 47.601041072630295),367,Leschi Park,201 Lakeside Ave. S,,,,,1281956.74472956,222625.71891597,22924,POINT (-122.2536654423589 47.67156461734921)
22,POINT (-122.3875586337762 47.63259831495889),4433,Smith Cove,23rd Ave West,,,,,1257231.08158256,234622.06861088,22924,POINT (-122.2536654423589 47.67156461734921)
23,POINT (-122.35787474750201 47.65179285674346),4011,Fremont Canal Park,199 N Canal St,,,,,1264687.20512173,241475.80949655,22924,POINT (-122.2536654423589 47.67156461734921)
24,POINT (-122.32928359361324 47.63680578572576),3889,Terry Pettus Park,2001 Fairview Ave E,,,,,1271626.45469464,235871.7921613,22924,POINT (-122.2536654423589 47.67156461734921)
25,POINT (-122.29202942896073 47.569134333235),4439,Lake People Park (Xacua'bs),3100 S Bradford st,,,,,1280341.59507273,211015.73229347,22924,POINT (-122.2536654423589 47.67156461734921)
26,POINT (-122.27286798049344 47.696480447311586),347,Matthews Beach Park,5100 NE 93rd St,,,,,1285939.85060848,257370.00474222,22924,POINT (-122.2536654423589 47.67156461734921)
27,POINT (-122.28026917545506 47.617523599440865),359,Howell Park,1740 Howell Pl,,,,,1283576.08597906,228608.52355139,22924,POINT (-122.2536654423589 47.67156461734921)
28,POINT (-122.40413064359686 47.69173596686056),243,Golden Gardens Park,8498 Seaview Pl NW,,,,,1253586.18237631,256271.92196463,22924,POINT (-122.2536654423589 47.67156461734921)
29,POINT (-122.32034837282106 47.682561760579496),4045,Rainbow Point,631 NE Banner Pl,,,,,1274151.42241372,252516.19653647,22924,POINT (-122.2536654423589 47.67156461734921)
30,POINT (-122.26333677917128 47.52986228581991),420,Pritchard Island Beach,8400 55th Ave S,,,,,1287157.30027331,196560.20936731,22924,POINT (-122.2536654423589 47.67156461734921)
31,POINT (-122.31836385588993 47.64301700444692),4006,Bagley Viewpoint,2548 Delmar Dr E,,,,,1274361.83275406,238084.87008421,22924,POINT (-122.2536654423589 47.67156461734921)
32,POINT (-122.32961878896839 47.639792450695516),4075,Lynn Street Mini Park,2291 Fairview Ave E,,,,,1271565.01157606,236962.62495339,22924,POINT (-122.2536654423589 47.67156461734921)
33,POINT (-122.31232520564257 47.5921271544948),4400,Daejeon Park,1144 Sturgus Ave S,,,,,1275493.42694756,219496.78324471,22924,POINT (-122.2536654423589 47.67156461734921)
34,POINT (-122.31974238950744 47.53119649315184),705,Duwamish Waterway Park,7900 10th Ave S,,,,,1273234.30023223,197310.81908655,22924,POINT (-122.2536654423589 47.67156461734921)
35,POINT (-122.27675616965564 47.63908534734946),4441,Madison Park North Beach,2300 43rd Ave E,,,,,1284589.86446331,236455.84906405,22924,POINT (-122.2536654423589 47.67156461734921)
36,POINT (-122.41117407541759 47.5709753399317),295,Cormorant Cove,3701 Beach Dr SW,,,,,1250948.8037928,212267.35971147,22924,POINT (-122.2536654423589 47.67156461734921)
37,POINT (-122.40694418717973 47.563747880008926),3920,Emma Schmitz Memorial Overlook,4503 Beach Dr SW,,,,,1251938.84282322,209610.20852971,22924,POINT (-122.2536654423589 47.67156461734921)
38,POINT (-122.2954669974211 47.58746193859627),401,Bradner Gardens Park,1730 Bradner Pl S,,,,,1279620.15163372,217715.89769888,22924,POINT (-122.2536654423589 47.67156461734921)
