,curbramps,marked,st_pkey,street_name,geometry
160,1,0,1042,1ST AVE N,"LINESTRING (-122.355726414455 47.63360026013388, -122.3555600734359 47.63359921221246)"
161,1,0,10610,GARFIELD ST,"LINESTRING (-122.3557279723112 47.6334603942262, -122.355726414455 47.63360026013388)"
162,1,0,1042,1ST AVE N,"LINESTRING (-122.3555550986823 47.63395995158329, -122.355721440846 47.63396099951724)"
163,0,0,1043,1ST AVE N,"LINESTRING (-122.3557199565888 47.63407335047429, -122.355553612918 47.63407238958293)"
164,1,0,10863,HAYES ST,"LINESTRING (-122.355553612918 47.63407238958293, -122.3555550986823 47.63395995158329)"
165,1,0,1043,1ST AVE N,"LINESTRING (-122.3555446835683 47.63477852268831, -122.3557124927508 47.63466374090114)"
166,0,0,1044,1ST AVE N,"LINESTRING (-122.3557099106293 47.63488066505593, -122.355543199546 47.63491460016946)"
167,0,0,9278,BLAINE ST,"LINESTRING (-122.3557124927508 47.63466374090114, -122.3557099106293 47.63488066505593)"
168,1,0,9279,BLAINE ST,"LINESTRING (-122.355543199546 47.63491460016946, -122.3555446835683 47.63477852268831)"
169,0,0,1044,1ST AVE N,"LINESTRING (-122.3555354092505 47.63566005812817, -122.3557017597301 47.63566085223213)"
170,0,0,1045,1ST AVE N,"LINESTRING (-122.3557003431571 47.63577367212053, -122.3555218245523 47.6357724783458)"
171,1,0,10950,HOWE ST,"LINESTRING (-122.3555218245523 47.6357724783458, -122.3555354092505 47.63566005812817)"
172,0,0,1045,1ST AVE N,"LINESTRING (-122.3555202664375 47.63587891479372, -122.3556987853606 47.63588010853801)"
173,0,0,1046,1ST AVE N,"LINESTRING (-122.3557252765668 47.63603369314379, -122.3555183511755 47.63603271826144)"
174,1,0,10949,HOWE ST,"LINESTRING (-122.3556987853606 47.63588010853801, -122.3557252765668 47.63603369314379)"
175,0,0,1046,1ST AVE N,"LINESTRING (-122.3555134276733 47.63651004018625, -122.3557203551107 47.63651101505496)"
176,0,0,1047,1ST AVE N,"LINESTRING (-122.3557191325663 47.63662355873571, -122.3555118089314 47.63662247803122)"
